MENU_BACK,Back,Retour,Indietro,もどる,뒤로,Atrás,Atrás,Voltar,Powrót,Zurück,Назад,Назад,返回,
MENU_PRESS,Press [color][ui_accept][/color],Appuyez sur [color][ui_accept][/color],Premi [color][ui_accept][/color],Press [color][ui_accept][/color],[color][ui_accept][/color][particle:ui_accept:2] 누르십시오,Presiona [color][ui_accept][/color],Pulsa [color][ui_accept][/color],Pressione [color][ui_accept][/color],Naciśnij [color][ui_accept][/color],Drücke [color][ui_accept][/color],Нажмите [color][ui_accept][/color],Натисніть [color][ui_accept][/color],按下[color][ui_accept]键[/color]进入游戏,Press [color][ui_accept][/color]!
MENU_SELECT,Select,Sélection,Seleziona,せんたく,선택,Seleccionar,Seleccionar,Selecionar,Wybierz,Auswählen,Выбрать,Вибрати,选择,
MENU_LV,LV,NV,Lv,LV,LV,NV,NV,NV,LV,LV,УР,РІВ,LV,
MENU_SKIP,Skip,Passer,Salta,SKIP,스킵,Saltar,Saltar,Pular,Pomiń,Überspringen,Пропустить,Пропустити,跳过,
MENU_HP,HP,PV,PS,HP,HP,PV,PV,HP,HP,KP,ОЗ,ОЗ,HP,
MENU_PP,PP,PP,PP,PP,PP,PP,PP,PP,PP,PP,ОП,ОП,PP,
MENU_SP,SP,PT,PT,SP,SP,PH,PT,SP,SP,FP,ОН,ОТ,SP,
MENU_HP_PP,HP/PP,PV/PP,PS/PP,HP・PP,HP/PP,PV/PP,PV/PP,HP/PP,HP/PP,KP/PP,ОЗ/ОП,ОЗ/ОП,HP/PP,
STAT_LEVEL,Level,Niveau,Livello,ＬＶ,레벨,Nivel,Nivel,Nível,Poziom,Level,Уровень,Рівень,等级,
STAT_EXP,EXP,EXP,Esp.,ＥＸ,경험치,EXP,EXP,EXP,EXP,Erf.,Опыт,Досвід,经验值,
STAT_HP,HP,PV,PS,ＨＰ,HP,PV,PV,HP,HP,KP,ОЗ,ОЗ,HP,
STAT_PP,PP,PP,PP,ＰＰ,PP,PP,PP,PP,PP,PP,ОП,ОП,PP,
STAT_MAXHP,Max. HP,PV max.,PS max.,ＭＡＸ　ＨＰ,MAX HP,PV máx.,PV máx.,HP máx.,Maks. HP,Max. KP,Макс. ОЗ,Макс. ОЗ,最大HP,
STAT_MAXPP,Max. PP,PP max.,PP max.,ＭＡＸ　ＰＰ,MAX HP,PP máx.,PP máx.,PP máx.,Maks. PP,,Макс. ОП,Макс. ОП,最大PP,
STAT_OFFENSE,Offense,Attaque,Attacco,オフェンス,오펜스,Ofensa,Fuerza,Ataque,Ofensywa,Angriff,Атака,Атака,攻击力,
STAT_DEFENSE,Defense,Défense,Difesa,ディフェンス,디펜스,Defensa,Defensa,Defesa,Obrona,Verteidigung,Защита,Захист,防御力,
STAT_SPEED,Speed,Vitesse,Velocità,スピード,스피드,Velocidad,Velocidad,Agilidade,Szybkość,Geschwindigkeit,Скорость,Швидкість,速度,
STAT_IQ,IQ,QI,QI,ＩＱ,IQ,IQ,CI,QI,IQ,IQ,IQ,IQ,智力,
STAT_GUTS,Guts,Audace,Combattività,ガッツ,용기,Coraje,Agallas,Coragem,Odwaga,Mut,Дерзость,Сміливість,勇气,
STAT_SHORT_OFFENSE,OFE,ATT,ATT,OFE,OFE,OFE,FUE,ATQ,OFE,ANG,АТК,АТК,ATK,
STAT_SHORT_DEFENSE,DEF,DEF,DIF,DEF,DEF,DEF,DEF,DEF,OBR,VER,ЗЩТ,ЗХС,DEF,
STAT_SHORT_SPEED,SPD,VIT,VEL,SPD,SPD,VEL,VEL,AGI,SZB,GES,СКР,ШВ,SPD,
STAT_SHORT_IQ,IQ,QI,QI,IQ,IQ,IQ,CI,QI,IQ,IQ,IQ,IQ,智力,
STAT_SHORT_GUTS,GUT,AUD,CMB,GUT,GUT,COR,AGL,COR,ODW,MUT,ДРЗ,СМЛ,GUT,
SKILLS_FIELD,Field,Exploration,Esplorazione,フィールド,필드,Campo,Campo,Campo,Pole,Feld,В мире,Поле,场地,
SKILLS_BATTLE,Battle,Combat,Lotta,せんとう,배틀,Combate,Combate,Combate,Walka,Kampf,В битве,Битва,战斗,
SKILLS_PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,PSI,
SKILLS_REQUIRES_BAT,A bat must be equipped.,Une batte doit être équipée.,Serve equipaggiare una mazza.,バットを　そうびして　つかう。,배트를 장비하고 있어야 한다.,Se necesita un bate equipado.,Se necesita un bate equipado.,Um taco deve estar equipado.,Wymaga użycia kija.,Ein Schläger müsste ausgerüstet werden.,Необходимо экипироваться битой.,Для цього спорядитеся битою.,必须装备球棒。,
SKILLS_REQUIRES_SLINGSHOT,A slingshot must be equipped.,Un lance-pierre doit être équipé.,Serve equipaggiare una fionda.,スリングショットを　そうびして　つかう。,새총을 장비하고 있어야 한다.,Se necesita una resortera equipada.,Se necesita un tirachinas equipado.,Um estilingue deve estar equipado.,Wymaga użycia procy.,Eine Schleuder müsste ausgerüstet werden.,Необходимо экипироваться рогаткой.,Для цього спорядитеся рогаткою.,必须装备弹弓。,
SAVE_TIME,Time,Temps,Tempo,TIME,,Tiempo,Tiempo,Tempo,Czas,Zeit,Время,Час,时间,
SAVE_TIME_TOO_MUCH,{time} Go outside,{time} d'arrêter,Esci di casa,{time} あそびすぎ,{time} 현생도 살자,Toca pasto,Sal a la calle,Sai da toca,Wyjdź na dwór,{time} Riech Gras,Выйти на улицу,Вийди на вулицю,{time}溢出,
SAVE_PLAY,Play,Jouer,Gioca,つづき,이어서,Jugar,Jugar,Jogar,Graj,Start,Играть,Грати,游玩,
SAVE_COPY,Copy,Copier,Copia,うつす,복사,Copiar,Copiar,Copiar,Kopiuj,Kopieren,Копировать,Копіювати,复制,
SAVE_DELETE,Delete,Effacer,Elimina,けす,삭제,Eliminar,Eliminar,Deletar,Usuń,Löschen,Удалить,Стерти,删除,
SAVE_SETTINGS,Settings,Configuration,Impostazioni,せってい,설정,Ajustes,Configuración,Preferências,Ustawienia,Einstellungen,Настройки,Параметри,设置,
SAVE_SAVECONFIRM,OK to overwrite this file?,Écraser le fichier de sauvegarde ?,Vuoi sovrascrivere questo salvataggio?,データを　うわがきしますか？,파일을 덮어씌우시겠습니까?,¿Sobrescribir archivo?,¿Quieres sobreescribir el archivo?,Salvar por cima?,Czy chcesz nadpisać ten plik?,Datei wirklich überschreiben?,Перезаписать этот файл?,Перезаписати цей файл?,确定要覆盖此存档文件吗？,
SAVE_DELETECONFIRM,This will erase this save file.\nIs that okay?,Cette sauvegarde va être supprimée.\nÊtes-vous sûr ?,Questo salvataggio sarà eliminato.\nVa bene?,データは　さくじょされます。\nよろしいでしょうか？,파일을 삭제하시겠습니까?,Borrarás la partida guardada.\n¿Está bien?,Se borrará la partida guardada.\n¿Estás de acuerdo?,Isso vai apagar o registro.\nTudo bem?,Spowoduje to usunięcie zapisanego pliku.\nCzy jesteś pewien?,Dies wird diese Speicherdatei löschen.\nIst das in Ordnung?,Файл сохранения будет стёрт.\nПродолжить?,Файл збереження буде видалено.\nВи впевнені?,该存档文件将会被清除。\n确定可以吗？,
SAVE_NODATA,No Data,Aucune donnée,Nessun salvataggio,データなし,데이터 없음,No hay datos,No hay datos,Vazio,Brak danych,Keine Daten,Пусто,Пусто,无数据,
MENU_CAPITALSMALL,Capital/Small,Maj/min,Maiuscole/Minuscole,かな・カナ・ＡＢＣ,,Mayús/Min,Mayús/Min,GRANDES/pequenas,Duże/Małe,Groß/Klein,Заглавные/строчные,Великі/малі літери,中文/英文,
MENU_TEXTSPEED,Text Speed,Vitesse du texte,Velocità del testo,メッセージスピード,글자 속도,Velocidad del texto,Velocidad del texto,Velocidade do texto,Szybkość tekstu,Textgeschwindigkeit,Скорость текста,Швидкість тексту,文本速度,
MENU_FLAVORS,Menu Flavors,Couleur des menus,Gusto delle finestre,ウィンドウタイプ,메뉴 타입,Sabor del menú,Sabor del menú,Sabor da janela,Smaki menu,Menü-Geschmack,Стиль окон,Стиль меню,菜单主题,
MENU_PROMPTS,Button Prompts,Indications de touches,Indicatori dei pulsanti,ボタンひょうじ,버튼 표시,Indicadores de botón,Indicadores de botón,Indicadores,Polecenia przycisków,Knopfanzeige,Подсказки взаим.,Підказки взаєм.,按钮提示,
MENU_END,End,Terminé,Fine,すすむ,완료,Terminar,Terminar,Fim,Zakończ,Ende,Готово,Готово,完成,
MENU_CERTAINTY,Are you sure?,C'est bien ça ?,Va bene così?,よろしいですか？,이걸로 좋습니까?,¿Está bien?,¿Está bien?,Tem certeza?,Na pewno?,Bist du sicher?,Всё верно?,Ви впевнені?,这样可以吗？,
MENU_BOTH,Both,Toutes,Entrambi,りょうほう,둘 다,Ambos,Ambos,Ambos,Oba,Beide,Все,Усі,全部,
MENU_OBJECTS,Objects,Objets,Oggetti,モノ,오브젝트,Objetos,Objetos,Objetos,Przedmioty,Objekte,Предметы,Предмети,物体,
MENU_NPCS,NPCs,PNJ,NPC,ＮＰＣ,NPC,NPCs,NPC,,NPC,,Перс-жи,Персонажі,人物,
MENU_NONE,None,Aucune,Nessuno,なし,없음,Ninguno,Ninguno,Nenhum,Nic,Keine,Выкл.,Ніякі,无,
MENU_FAST,Fast,Rapide,Veloce,はやい,빠름,Rápida,Rápida,Rápido,Szybka,Flott,Быстрая,Висока,快速,
MENU_MEDIUM,Medium,Moyenne,Media,ふつう,보통,Mediana,Normal,Médio,Średnia,Mittel,Средняя,Середня,中等,
MENU_SLOW,Slow,Lente,Lenta,おそい,느림,Lenta,Lenta,Lento,Wolna,Lahm,Медленная,Повільна,慢速,
MENU_FASTSPD,Fast Speed,Vitesse rapide,Testo veloce,はやいそくど,빠른 속도,Velocidad rápida,Velocidad rápida,Rápido,Szybka prędkość,Flotte Geschwindigkeit,Быстрая скорость,Висока швидкість,快速,
MENU_MEDIUMSPD,Medium Speed,Vitesse moyenne,Testo normale,ふつうのそくど,보통 속도,Velocidad mediana,Velocidad normal,Médio,Średnia prędkość,Mittlere Geschwindigkeit,Средняя скорость,Середня швидкість,中等,
MENU_SLOWSPD,Slow Speed,Vitesse lente,Testo lento,おそいそくど,느린 속도,Velocidad lenta,Velocidad lenta,Lento,Wolna prędkość,Lahme Geschwindigkeit,Медленная скорость,Повільна швидкість,慢速,
FLAVOR_PLAIN,Plain,Nature,Naturale,プレーン,플레인,Natural,Básico,Básico,Zwykły,Natürlich,Обычный,Звичайний,朴素,
FLAVOR_MINT,Mint,Menthe,Menta,ミント,민트,Menta,Menta,Menta,Miętowy,Minze,Мятный,М'ятний,薄荷,
FLAVOR_STRAWBERRY,Strawberry,Fraise,Fragola,ストロベリー,스트로베리,Fresa,Fresa,Morango,Truskawkowy,Erdbeere,Клубничный,Полуничний,草莓,
FLAVOR_BANANA,Banana,Banane,Banana,バナナ,바나나,Banana,Plátano,Banana,Bananowy,Banane,Банановый,Банановий,香蕉,
FLAVOR_PEANUT,Peanut,Cacahuète,Arachide,ナッツ,피넛,Maní,Cacahuete,Amendoim,Fistaszkowy,Erdnuss,Арахисовый,Арахісовий,花生,
FLAVOR_GRAPE,Grape,Raisin,Uva,グレープ,그레이프,Uva,Uva,Uva,Winogronowy,Traube,Виноградный,Виноградний,葡萄,
FLAVOR_MELON,Melon,Melon,Melone,メロン,멜론,Melón,Sandía,Melancia,Melonowy,Melone,Арбузный,Кавуновий,西瓜,
NAME_NINTEN0,Ninten,Ninten,Ninten,ニンテン,닌텐,Ninten,Ninten,Ninten,Ninten,Ninten,Нинтен,Нінтен,任天,
NAME_NINTEN1,Ken,Ken,Ken,ケン,켄,Ken,Ken,Ken,Ken,Ken,Кен,Кен,肯,
NAME_NINTEN2,Douglas,Douglas,Douglas,ダグラス,더글러스,Douglas,Douglas,Douglas,Douglas,Don,Дуглас,Дуглас,道格拉斯,
NAME_NINTEN3,Jeremy,Jeremy,Jeremy,ジェレミー,제레미,Jeremy,Jeremy,Guri,Jeremy,Jeremy,Джереми,Джеремі,杰里米,
NAME_NINTEN4,Mark,Mark,Mark,マーク,마크,Mark,Mark,Marcos,Mark,Mark,Марк,Марк,马克,
NAME_NINTEN5,Ryu,Ryu,Ryu,リュウ,류,Ryu,Ryu,Gonzaga,Ryu,Ryu,Рю,Рю,隆,
NAME_NINTEN6,Colin,Colin,Colin,コリン,콜린,Colin,Colin,Colin,Pegaz,Collin,Колин,Колін,克林,
NAME_ANA0,Ana,Ana,Ana,アナ,아나,Ana,Ana,Ana,Ana,Ana,Ана,Ана,安娜,
NAME_ANA1,Jill,Jill,Jill,ジル,질,Jill,Jill,Rita,Jill,Jill,Джилл,Джилл,吉尔,
NAME_ANA2,Sylvia,Sylvia,Sylvia,シルビア,실비아,Sylvia,Sylvia,Alice,Sylwia,Sylvia,Сильвия,Сільвія,塞尔维亚,
NAME_ANA3,Catrine,Catrine,Catrine,カトリーヌ,카트린,Catrine,Catrine,Catrine,Catrine,Catrina,Кэтрин,Кетрін,卡特琳,
NAME_ANA4,Carrie,Carrie,Carrie,キャリー,캐리,Carrie,Carrie,Mariana,Carrie,Carrie,Кэрри,Керрі,凯莉,
NAME_ANA5,Nina,Nina,Nina,ニーナ,니나,Nina,Nina,Sofia,Nina,Nina,Нина,Ніна,妮娜,
NAME_ANA6,Emily,Emily,Emily,エミリー,에밀리,Emily,Emily,Aurora,Emilia,Emily,Эмили,Емілі,艾米莉,
NAME_LLOYD0,Lloyd,Lloyd,Lloyd,ロイド,로이드,Lloyd,Lloyd,Lloyd,Lloyd,Lloyd,Ллойд,Ллойд,罗伊德,
NAME_LLOYD1,Brian,Brian,Brian,ブライアン,브라이언,Brian,Brian,Bruno,Brajan,Brian,Брейн,Браян,布莱恩,
NAME_LLOYD2,Albert,Albert,Albert,アルバート,알버트,Albert,Albert,Alberto,Albert,Albert,Альберт,Альберт,阿尔伯特,
NAME_LLOYD3,Louis,Louis,Louis,ルイ,루이스,Louis,Louis,Luís,Louis,Luis,Льюис,Льюіс,路易,
NAME_LLOYD4,Kenny,Kenny,Kenny,ケニー,케니,Kenny,Kenny,Kenny,Kenny,Kenny,Кенни,Кенні,肯尼,
NAME_LLOYD5,Jean,Jean,Jean,ジーン,진,Jean,Jean,Gustavo,Jean,Jean,Джин,Джин,简,
NAME_LLOYD6,Maxwell,Maxwell,Maxwell,ジャック,맥스웰,Maxwell,Maxwell,Santos,Maxwell,Maxwell,Макс,Макс,麦克斯威尔,
NAME_PIPPI0,Pippi,Fifi,Pippi,ピッピ,삐삐,Pippi,Pippi,Pippi,Pippi,Pippi,Пеппи,Пеппі,皮皮,
NAME_PIPPI1,Alex,Alex,Alex,アン,알렉스,Alex,Alex,Alex,Alex,Alexa,Алекс,Алекс,亚历克斯,
NAME_PIPPI2,Penny,Penny,Penny,ペニー,페니,Penny,Penny,Penny,Penny,Penny,Пэнни,Пенні,佩妮,
NAME_PIPPI3,Ferris,Ferris,Ferris,フェリス,페리스,Ferris,Ferris,Emília,Ferris,Lilli,Феррис,Ферріс,费里斯,
NAME_PIPPI4,Natalie,Natalie,Natalie,ナタリー,나탈리,Natalie,Natalie,Natália,Natalia,Natalie,Натали,Наталі,娜塔莉,
NAME_PIPPI5,Katt,Katt,Katt,ケイティ,캣,Katt,Katt,Katt,Katt,Katt,Кэтт,Кетт,卡特,
NAME_PIPPI6,Ashley,Ashley,Ashley,アシュリー,애슐리,Ashley,Ashley,Ashley,Ashley,Ashley,Эшли,Ешлі,艾什莉,
NAME_TEDDY0,Teddy,Teddy,Teddy,テディ,테디,Teddy,Teddy,Teddy,Teddy,Teddy,Тедди,Тедді,泰迪,
NAME_TEDDY1,Joe,Joe,Joe,ジョー,조,Joe,Joe,João,Joe,Joe,Джо,Джо,乔,
NAME_TEDDY2,Leo,Leo,Leo,レオ,레오,Leo,Leo,Briggs,Leon,Leo,Лео,Лео,里奥,
NAME_TEDDY3,Jeb,Jeb,Jeb,ジェブ,젭,Jeb,Jeb,Madruga,Jeb,Jeb,Джеб,Джеб,杰布,
NAME_TEDDY4,Alec,Alec,Alec,アレック,알렉,Alec,Alec,Thomas,Alec,Alex,Алек,Алек,亚历克,
NAME_TEDDY5,Rand,Rand,Rand,ランド,랜드,Rand,Rand,Roberto,Rand,Randy,Ранд,Ранд,兰德,
NAME_TEDDY6,Dallas,Dallas,Dallas,ダラス,댈러스,Dallas,Dallas,Damião,Dallas,Dallas,Даллас,Даллас,达拉斯,
NAME_FLYINGMAN,Flying Man,Garuda,Flying Man,フライングマン,플라잉 맨,Flying Man,Hombre Volador,Homem Voador,Latający Człowiek,Fliegender Mann,Полётчик,Льотчик,飞人,
NAME_CANARYCHICK,Canary Chick,Bébé canari,Pulcino di canarino,カナリアのヒナ,아기 카나리아,Canario bebé,Cría de canario,Canário Filhote,Kanarek,Kanarienküken,Птенец канарейки,Пташеня канарки,金丝雀雏鸟,
NAME_EVE,EVE,ÈVE,EVE,イヴ,이브,EVE,EVE,EVA,EWA,EVE,ЕВА,ЄВА,伊芙,
FAVFOOD0,Prime Rib,Côte de bœuf,Costolette,プライムリブ,소갈비,Bistec,Costillas,Costeleta,Żeberka,Rostbraten,Рёбрышки,Смажені ребра,上等肋排,
FAVFOOD1,Bean Paste,Perles coco,Marmellata,あんパン,단팥빵,Frijoles,Judías,Feijoada,Pasta z fasoli,Apfelmus,Фасоль,Квасоля,豆沙面包,
FAVFOOD2,Creme Cookies,Macaron,Biscotti,クリームクッキー,크림 쿠키,Galletas,Galletas,Cookies,Ciastka z kremem,Creme-Kekse,Печенье,Печиво,奶油饼干,
FAVFOOD3,Pasta,Pâtes,Pasta,パスタ,파스타,Fideos,Pasta,Macarrão,Makaron,Nudeln,Макароны,Макарони,意大利面,
FAVFOOD4,Omelets,Omelette,Omelette,オムレツ,오믈렛,Tortillas,Tortilla,Omelete,Omlety,Omelett,Омлет,Омлет,煎蛋卷,
FAVFOOD5,Custard,Crème brûlée,Budino,おこさまランチ,커스터드,Budín,Natillas,Pavê,Budyń,Pudding,Крем-брюле,Крем-брюле,蛋奶冻,
FAVFOOD6,Salmon,Saumon,Salmone,サーモン,연어,Salmón,Salmón,Tilápia,Łosoś,Lachs,Лосось,Лосось,三文鱼,
LONGEST_POSSIBLE_NAME,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ああああああ,절절절절절절,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒ,ЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩ,??????,
LONGEST_POSSIBLE_FOOD,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ああああああああああ,절절절절절절절절절절,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,???????????,
LONGEST_POSSIBLE_PLAYER_NAME,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ああああああああああ,절절절절절절절절절절,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,???????????,
NAME_BIO0,What is this boy's name?,Comment s'appelle ce garçon ?,Come si chiama questo ragazzo?,なまえを　つけてください,남자아이의 이름은?,¿Cuál es el nombre de este chico?,¿Cómo se llama este chico?,Qual é o nome deste garoto?,Jak ma na imię ten chłopiec?,Wie heißt dieser Junge?,Как зовут этого мальчика?,Як звати цього хлопчика?,这个男孩的名字是什么？,
NAME_BIO1,What is this girl's name?,Comment s'appelle cette fille ?,E questa ragazza?,おんなのこの　なまえは？,여자아이의 이름은?,¿Cuál es el nombre de esta chica?,¿Cómo se llama esta chica?,Qual é o nome desta garota?,Jak ma na imię ta dziewczyna?,Wie heißt dieses Mädchen?,А как зовут эту девочку?,Як звати цю дівчинку?,这个女孩的名字是什么？,
NAME_BIO2,This other boy's name?,Et cet autre garçon ?,"Quest'altro ragazzo, invece?",ともだちの　なまえは？,친구의 이름은?,¿Y el de este chico?,¿Y este otro chico?,O nome deste outro garoto?,Jak ma na imię drugi chłopiec?,Und der Name des anderen Jungen?,А его как зовут?,А цього як звати?,另一个男孩的名字是？,
NAME_BIO3,This other girl's name?,Et cette autre fille ?,E quest'altra ragazza?,もうひとりの　おんなのこは？,다른 여자아이의 이름은?,¿Y el de esta chica?,¿Y esta otra chica?,O nome desta outra garota?,Imię drugiej dziewczyny?,Und der Name des anderen Mädchens?,А эту девчушку?,А цю дівчинку?,另一个女孩的名字是？,
NAME_BIO4,This last boy's name?,Et ce dernier garçon ?,E il nome di quest'ultimo?,もうひとりの　ともだちは？,다른 친구의 이름은?,¿Cómo se llama este último chico?,¿Cómo se llama este último chico?,O nome deste homem?,Imię ostatniego chłopca?,Und der Name des letzten Jungen?,Как назовёте этого парня?,А як цього?,最后这个男孩的名字是？,
NAME_BIO5,What is your favorite homemade food?,Qu'est-ce que vous adorez manger ?,Qual è il tuo cibo preferito?,すきなこんだては　なに？,가장 좋아하는 음식은?,¿Cuál es tu plato favorito?,¿Cuál es tu comida favorita?,Qual é a sua comida favorita?,Jakie jest twoje ulubione jedzenie?,Was ist dein Leibgericht?,Ваше любимое блюдо?,Ваша улюблена домашня страва?,你最喜欢的家常菜是什么？,
