key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
CREDITS_ARTISTS_PROMO,PROMOTIONAL ARTISTS,GRAPHISTES PUBLICITAIRES,ARTISTI PROMOZIONALI,,,ARTISTAS PROMOCIONALES,ARTISTAS PROMOCIONALES,ARTISTAS PROMOCIONAIS,ARTYŚCI PROMOCYJNI,PROMOTIONEN,ХУДОЖНИКИ ПРОМО-МАТЕРИАЛОВ,ХУДОЖНИКИ ПРОМО-МАТЕРІАЛІВ,艺术宣传
CREDITS_DESIGN_LOGO,MOTHER ENCORE LOGO DESIGNER,CRÉATION DU LOGO DE MOTHER ENCORE,DESIGNER DEL LOGO DI MOTHER ENCORE,,,DISEÑADORA DEL LOGO DE MOTHER ENCORE,DISEÑADORA DEL LOGO DE MOTHER ENCORE,DESIGNER DA LOGO DE MOTHER ENCORE,PROJEKTANTKA LOGO MOTHER ENCORE,,ДИЗАЙНЕР ЛОГОТИПА MOTHER: ENCORE,ДИЗАЙНЕР ЛОГОТИПУ MOTHER: ENCORE,MOTHER ENCORE 徽标设计师
CREDITS_WRITERS,WRITERS,SCÉNARIO ET TEXTES,SCENEGGIATORI,,,ESCRITORES,ESCRITORES,ESCRITORES,SCENARZYŚCI,AUTOREN,СЦЕНАРИСТЫ,СЦЕНАРИСТИ,编剧
CREDITS_MUSICIANS,MUSICIANS,MUSICIENS,COMPOSITORI MUSICALI,,,MÚSICOS,MÚSICOS,MÚSICOS,MUZYCY,MUSIK,КОМПОЗИТОРЫ,КОМПОЗИТОРИ,游戏配乐
CREDITS_SINGERS,SINGERS,CHANTEURS,CANTANTI,,,CANTANTES,CANTANTES,CANTORES,PIOSENKARZE,SÄNGER,ПЕВЦЫ,СПІВАЧИ,演唱
CREDITS_VOICE,VOICE ACTOR,VOIX ANGLAISE,DOPPIATORE,,,ACTOR DE VOZ,ACTOR DE VOZ,DUBLADOR,AKTOR GŁOSOWY,SYNCHRONSPRECHER,АКТЁР ОЗВУЧКИ,АКТЕР ОЗВУЧКИ,配音演员
CREDITS_TESTERS_BUGS,BUG TESTERS,TESTEURS QA,BUG TESTER,DEBUG,,TESTERS,TESTERS,TESTERS DE BUGS,TESTERZY,BUG-TESTER,ТЕСТЕРЫ,ТЕСТЕРИ,BUG测试员
CREDITS_TESTERS_PLAY,PLAYTESTERS,PLAYTESTERS,PLAYTESTER,,,,,,PLAYTESTERZY,TESTSPIELER,БЕТА-ТЕСТЕРЫ,БЕТА-ТЕСТЕРИ,游戏测试员
CREDITS_TRANSLATION_MANAGER,TRANSLATION MANAGER,RESPONSABLE DES TRADUCTIONS,RESPONSABILE DELLA LOCALIZZAZIONE,,,GERENTE DE TRADUCCIÓN,GERENTE DE TRADUCCIÓN,GERENTE DE TRADUÇÃO,MANAGER DS. TŁUMACZEŃ,ÜBERSETZUNGSMANAGER,МЕНЕДЖЕРЫ ПО ПЕРЕВОДАМ,МЕНЕДЖЕР ПЕРЕКЛАДІВ,本地化负责人
CREDITS_TRANSLATORS,TRANSLATORS,TRADUCTEURS,LOCALIZZATORI,,,TRADUCTORES,TRADUCTORES,TRADUÇÃO,TŁUMACZE,ÜBERSETZER,ПЕРЕВОДЧИКИ,ПЕРЕКЛАДАЧІ,翻译人员
CREDITS_TRANSLATORS_TEAM,Team: ,Équipe : ,,,,Equipo: ,Equipo: ,Equipe: ,Zespół: ,,Команда: ,Команда: ,团队：
CREDITS_TRANSLATOR_JA,JAPANESE TRANSLATORS,TRADUCTION JAPONAISE,LOCALIZZAZIONE GIAPPONESE,,,TRADUCCIÓN AL JAPONES,TRADUCCIÓN AL JAPONÉS,TRADUÇÃO PARA JAPONÊS,JAPOŃSKIE TŁUMACZENIE,JAPANISCHE ÜBERSETZER,ПЕРЕВОД НА ЯПОНСКИЙ,ПЕРЕКЛАД НА ЯПОНСЬКУ,日本语翻译
CREDITS_TRANSLATOR_FR,FRENCH TRANSLATORS,TRADUCTION FRANÇAISE,LOCALIZZAZIONE FRANCESE,,,TRADUCCIÓN AL FRANCES,TRADUCCIÓN AL FRANCÉS,TRADUÇÃO PARA FRANCÊS,FRANCUSKIE TŁUMACZENIE,FRANZÖSISCHE ÜBERSETZER,ПЕРЕВОД НА ФРАНЦУЗСКИЙ,ПЕРЕКЛАД НА ФРАНЦУЗСЬКУ,法语翻译
CREDITS_TRANSLATOR_IT,ITALIAN TRANSLATORS,TRADUCTION ITALIENNE,LOCALIZZAZIONE ITALIANA,,,TRADUCCIÓN AL ITALIANO,TRADUCCIÓN AL ITALIANO,TRADUÇÃO PARA ITALIANO,WŁOSKIE TŁUMACZENIE,ITALIENISCHE ÜBERSETZER,ПЕРЕВОД НА ИТАЛЬЯНСКИЙ,ПЕРЕКЛАД НА ІТАЛЬЯНСЬКУ,意大利语翻译
CREDITS_TRANSLATOR_KO,KOREAN TRANSLATORS,TRADUCTION CORÉENNE,LOCALIZZAZIONE COREANA,,,TRADUCCIÓN AL COREANO,TRADUCCIÓN AL COREANO,TRADUÇÃO PARA COREANO,KOREAŃSKIE TŁUMACZENIE,KOREANISCHE ÜBERSETZER,ПЕРЕВОД НА КОРЕЙСКИЙ,ПЕРЕКЛАД НА КОРЕЙСЬКУ,韩语翻译
CREDITS_TRANSLATOR_ES,LATIN AMERICAN SPANISH TRANSLATORS,TRADUCTION ESPAGNOLE (AMÉRIQUE LAT.),LOCALIZZAZIONE SPAGNOLA (AM. LATINA),SPANISH (LATIN AMERICA) TRANSLATORS,,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUÇÃO PARA ESPANHOL LATINO,HISZPAŃSKIE TŁUMACZENIE (AMER. ŁAĆ.),LATEINAMERIKANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ (ЛАТ. АМЕР.),ПЕРЕКЛАД НА ІСПАНСЬКУ (ЛАТ. АМЕР.),拉丁美洲西班牙语翻译
CREDITS_TRANSLATOR_ES_ES,EUROPEAN SPANISH TRANSLATORS,TRADUCTION ESPAGNOLE (ESPAGNE),LOCALIZZAZIONE SPAGNOLA (SPAGNA),SPANISH (SPAIN) TRANSLATORS,,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUÇÃO PARA ESPANHOL EUROPEU,HISZPAŃSKIE TŁUMACZENIE (HISZPANIA),SPANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ,ПЕРЕКЛАД НА ІСПАНСЬКУ,欧洲西班牙语翻译
CREDITS_TRANSLATOR_PT_BR,BRAZILIAN PORTUGUESE TRANSLATORS,TRADUCTION PORTUGUAISE (BRÉSIL),LOCALIZZAZIONE PORTOGHESE (BRASILE),PORTUGUESE (BRAZIL) TRANSLATORS,,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUÇÃO PARA PORTUGUÊS BRASILEIRO,PORTUGALSKIE TŁUMACZENIE (BRAZYLIA),PORTUGIESISCHE ÜBERSETZER,ПЕРЕВОД НА БР. ПОРТУГАЛЬСКИЙ,ПЕРЕКЛАД НА БР. ПОРТУГАЛЬСЬКУ,巴西葡萄牙语翻译
CREDITS_TRANSLATOR_PL,POLISH TRANSLATORS,TRADUCTION POLONAISE,LOCALIZZAZIONE POLACCA,,,TRADUCCIÓN AL POLACO,TRADUCCIÓN AL POLACO,TRADUÇÃO PARA POLONÊS,POLSKIE TŁUMACZENIE,POLNISCHE ÜBERSETZER,ПЕРЕВОД НА ПОЛЬСКИЙ,ПЕРЕКЛАД НА ПОЛЬСЬКУ,波兰语翻译
CREDITS_TRANSLATOR_DE,GERMAN TRANSLATORS,TRADUCTION ALLEMANDE,LOCALIZZAZIONE TEDESCA,,,TRADUCCIÓN AL ALEMÁN,TRADUCCIÓN AL ALEMÁN,TRADUÇÃO PARA ALEMÃO,NIEMIECKIE TŁUMACZENIE,DEUTSCHE ÜBERSETZER,ПЕРЕВОД НА НЕМЕЦКИЙ,ПЕРЕКЛАД НА НІМЕЦЬКУ,德语翻译
CREDITS_TRANSLATOR_RU,RUSSIAN TRANSLATORS,TRADUCTION RUSSE,LOCALIZZAZIONE RUSSA,,,TRADUCCIÓN AL RUSO,TRADUCCIÓN AL RUSO,TRADUÇÃO PARA RUSSO,ROSYJSKIE TŁUMACZENIE,RUSSISCHE ÜBERSETZER,ПЕРЕВОД НА РУССКИЙ,ПЕРЕКЛАД НА РОСІЙСЬКУ,俄语翻译
CREDITS_TRANSLATOR_UK,UKRAINIAN TRANSLATORS,TRADUCTION UKRAINIENNE,LOCALIZZAZIONE UCRAINA,,,TRADUCCIÓN AL UCRANIANO,TRADUCCIÓN AL UCRANIANO,TRADUÇÃO PARA UCRANIANO,UKRAIŃSKIE TŁUMACZENIE,UKRAINISCHE ÜBERSETZER,ПЕРЕВОД НА УКРАИНСКИЙ,ПЕРЕКЛАД НА УКРАЇНСЬКУ,乌克兰语翻译
CREDITS_TRANSLATOR_ZH_CN,CHINESE TRANSLATORS,TRADUCTION CHINOISE,LOCALIZZAZIONE CINESE,,,TRADUCCIÓN AL CHINO,TRADUCCIÓN AL CHINO,TRADUÇÃO PARA CHINÊS,CHIŃSKIE TŁUMACZENIE,CHINESISCHE ÜBERSETZER,ПЕРЕВОД НА КИТАЙСКИЙ,ПЕРЕКЛАД НА КИТАЙСЬКУ,简体中文翻译
CREDITS_FUN,MANAGER OF FUN,RESPONSABLE DU FUN,RESPONSABILE DEL DIVERTIMENTO,,,GERENTE DE DIVERSIÓN,GERENTE DE DIVERSIÓN,GERENTE DA DIVERSÃO,MANAGER ZABAWY,SPAẞ-MANAGER,МЕНЕДЖЕР ВЕСЕЛЬЯ,МЕНЕДЖЕР ЗАБАВ,娱乐总管
CREDITS_THANKS,SPECIAL THANKS,REMERCIEMENTS,RINGRAZIAMENTI SPECIALI,,,AGRADECIMIENTOS ESPECIALES,AGRADECIMIENTOS ESPECIALES,AGRADECIMENTOS ESPECIAIS,SPECJALNE PODZIĘKOWANIA,BESONDERER DANK,ОСОБАЯ БЛАГОДАРНОСТЬ,ОСОБЛИВА ВДЯЧНІСТЬ,特别鸣谢
CREDITS_THANKS_VERY,VERY SPECIAL THANKS,REMERCIEMENTS TOUT PARTICULIERS,RINGRAZIAMENTI MOLTO SPECIALI,,,AGRADECIMIENTOS MUY ESPECIALES,AGRADECIMIENTOS MUY ESPECIALES,AGRADECIMENTOS MUITO ESPECIAIS,BARDZO SPECJALNE PODZIĘKOWANIA,GANZ BESONDERER DANK,ОТ ВСЕЙ ДУШИ БЛАГОДАРИМ,ВІД ВСЬОГО СЕРЦЯ ДЯКУЄМО,特级鸣谢
CREDITS_NAME_FAN_TRANSL,The Mother 1 + 2 Fan Translation Team,La traduction amatrice anglaise de Mother 1 + 2,Il team di traduzione amatoriale di Mother 1 + 2,MOTHER 1 + 2 FAN TRANSLATION TEAM,,El equipo de la traducción fan de Mother 1 + 2,El equipo de la traducción fan de Mother 1 + 2,A Equipe da Fã-Tradução de Mother 1+2,Zespół fanów tłumaczy Mother 1 + 2,Das Mother 1 + 2 Fanübersetzungsteam,Команду фан. перевода Mother 1 + 2,Команді фан. перекладу Mother 1 + 2,《MOTHER1+2》粉丝翻译团队
CREDITS_NAME_COMMUNITY,The Mother Community,La communauté Mother,La community di MOTHER,MOTHER COMMUNITY,,La comunidad de Mother,La comunidad de Mother,A Comunidade de Mother,Społeczność Mother,Die Mother Community,Сообщество фанатов Mother,Спільноті фанатів Mother,MOTHER社区
CREDITS_NAME_DISCORD,The Mother Encore Discord Server,Le serveur Discord de Mother Encore,Il server Discord di MOTHER: Encore,MOTHER ENCORE DISCORD,,El servidor de Discord de Mother Encore,El servidor de Discord de Mother Encore,O Servidor do Discord de Mother Encore,Serwer Discord Mother Encore,Der Discord-Server von Mother Encore,Discord-сервер Mother: Encore,Discord-серверу Mother: Encore,Mother Encore Discord频道
CREDITS_ARTISTS_ITEM,ITEM SPRITE ARTISTS,GRAPHISMES SPRITES D'OBJETS,ARTISTI DEGLI SPRITE DEGLI OGGETTI,,,ARTISTAS DE SPRITES DE OBJETOS,ARTISTAS DE SPRITES DE OBJETOS,ARTISTAS DE SPRITES DE ITENS,ARTYŚCI OD IKON PRZEDMIOTÓW,ITEM-SPRITES,ХУДОЖНИКИ ПО ПРЕДМЕТАМ,ХУДОЖНИКИ СПРАЙТІВ РЕЧЕЙ,物品艺术绘制
CREDITS_PLAYER_THANK_YOU,THANK YOU FOR PLAYING,MERCI D'AVOIR JOUÉ,GRAZIE PER AVER GIOCATO,THANK YOU FOR PLAYING!,THANK YOU FOR PLAYING!,GRACIAS POR JUGAR,GRACIAS POR JUGAR,OBRIGADO POR TER JOGADO,DZIĘKUJEMY ZA GRĘ,DANKE FÜRS SPIELEN,СПАСИБО ЗА ИГРУ,ДЯКУЄМО ЗА ГРУ,感谢您的游玩
CREDITS_ARTISTS_ENVIRONMENT,ENVIRONMENT ARTISTS,GRAPHISMES ENVIRONNEMENTS,ARTISTI DEGLI AMBIENTI,,,ARTISTAS DE AMBIENTE,ARTISTAS DE AMBIENTE,ARTISTAS DE AMBIENTE,ARTYŚCI OD ŚRODOWISKA,OBERWELT,ХУДОЖНИКИ ПО ОКРУЖЕНИЮ,АНІМАТОРИ СЕРЕДОВИЩА,场景艺术绘制
CREDITS_STAFF_CREDITS,STAFF CREDITS,​,DI MOTHER ENCORE,,,CRÉDITOS DEL EQUIPO,CRÉDITOS DEL EQUIPO,CRÉDITOS DA EQUIPE, , MITWIRKENDE,РАБОТАЛИ:,ПРАЦЮВАЛИ:,职员名单
CREDITS_ARTISTS_MAP_SCREEN,MAP SCREEN ARTISTS,GRAPHISMES ÉCRANS CARTES,ARTISTI DELLE MAPPE,,,ARTISTAS DE MAPAS,ARTISTAS DE MAPAS,ARTISTAS DE MAPAS,ARTYŚCI EKRANU MAPY,KARTE,ХУДОЖНИКИ ПО КАРТАМ,ХУДОЖНИКИ МАП,地图艺术绘制
CREDITS_PLAYER,PLAYER,JOUEUR,GIOCATORE,,,JUGADOR,JUGADOR,JOGADOR,GRACZ,SPIELER,ИГРОК,ГРАВЕЦЬ,玩家
CREDITS_ENEMY_BALANCING,ENEMY BALANCING,ÉQUILIBRAGE DES ENNEMIS,BILANCIAMENTO NEMICI,,,BALANCEO DE ENEMIGOS,CAMBIOS DE EQUILIBRIO,BALANCEAMENTO DE INIMIGOS,BALANSOWANIE PRZECIWNIKÓW,GEGNER-BALANCE,БАЛАНСИРОВЩИКИ БИТВ,БАЛАНСУВАЛЬНИКИ,敌人平衡性调试
CREDITS_ACT1_TITLE,MOTHER ENCORE ACT 1,MOTHER ENCORE ACTE 1,TITOLI DI CODA ATTO 1,,MOTHER ENCORE ACT1,MOTHER ENCORE ACTO 1,MOTHER ENCORE ACTO 1,MOTHER ENCORE 1º ATO,MOTHER ENCORE AKT 1,MOTHER ENCORE AKT 1,НАД АКТОМ 1 MOTHER ENCORE ,НАД MOTHER ENCORE АКТ 1,MOTHER ENCORE 第1幕
CREDITS_ACT2_TITLE,MOTHER ENCORE ACT 2,MOTHER ENCORE ACTE 2,TITOLI DI CODA ATTO 2,,MOTHER ENCORE ACT2,MOTHER ENCORE ACTO 2,MOTHER ENCORE ACTO 2,MOTHER ENCORE 2º ATO,MOTHER ENCORE AKT 2,MOTHER ENCORE AKT 2,НАД АКТОМ 2 MOTHER ENCORE ,НАД MOTHER ENCORE АКТ 2,MOTHER ENCORE 第2幕
CREDITS_ACT2_ARTISTS_NPC,NPC SPRITE ARTISTS,GRAPHISME PNJ,ARTISTI DEGLI SPRITE DEGLI NPC,,,ARTISTAS DE SPRITE NPCS,ARTISTAS DE SPRITE NPCS,ARTISTAS DE SPRITES DE NPCS,ARTYŚCI SPRITE'ÓW NPC,NPC SPRITES,ХУДОЖНИКИ ПО НЕИГРОВЫМ ПЕРСОНАЖАМ,ХУДОЖНИКИ СПРАЙТІВ ПЕРСОНАЖІВ,人物图像艺术绘制
CREDITS_ACT2_ANIM_EFFECTS,EFFECTS ANIMATORS,ANIMATION DES EFFETS,ANIMATORI DEGLI EFFETTI,,,ANIMADORES DE EFECTOS,ANIMADORES DE EFECTOS,ANIMADORES DE EFEITOS,ANIMATORZY EFEKTÓW,EFFEKTANIMATOREN,АНИМАТОРЫ ВИЗУАЛЬНЫХ ЭФФЕКТОВ,АНІМАТОРИ ВІЗУАЛЬНИХ ЕФЕКТІВ,特效动画
CREDITS_ACT2_TRANSLATOR_ES,LATIN AMERICAN SPANISH TRANSLATORS,TRADUCTION EN ESPAGNOL D'AMÉRIQUE LATINE,LOCALIZZAZIONE SPAGNOLA (AMERICA LATINA),SPANISH (LATIN AMERICA) TRANSLATORS,,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUTORES DE ESPANHOL LATINO,HISZPAŃSKIE TŁUMACZENIE (AMERYKA ŁACIŃSKA),LATEINAMERIKANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ (ЛАТ. АМЕР.),ПЕРЕКЛАД НА ІСПАНСЬКУ (ЛАТИНСЬКА АМЕРИКА),拉丁美洲西班牙语翻译
CREDITS_ACT2_TRANSLATOR_ES_ES,EUROPEAN SPANISH TRANSLATORS,TRADUCTION EN ESPAGNOLE D'ESPAGNE,LOCALIZZAZIONE SPAGNOLA (SPAGNA),SPANISH (SPAIN) TRANSLATORS,,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUTORES DE ESPANHOL EUROPEU,HISZPAŃSKIE TŁUMACZENIE (HISZPANIA),SPANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ,ПЕРЕКЛАД НА ІСПАНСЬКУ,欧洲西班牙语翻译
CREDITS_ACT2_TRANSLATOR_PT_BR,BRAZILIAN PORTUGUESE TRANSLATORS,TRADUCTION EN PORTUGUAIS BRÉSILIEN,LOCALIZZAZIONE PORTOGHESE (BRASILE),PORTUGUESE (BRAZIL) TRANSLATORS,,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUTORES DE PORTUGUÊS BRASILEIRO,PORTUGALSKIE TŁUMACZENIE (BRAZYLIA),PORTUGIESISCHE ÜBERSETZER,ПЕРЕВОД НА БР. ПОРТУГАЛЬСКИЙ,ПЕРЕКЛАД НА БРАЗИЛЬСЬКУ ПОРТУГАЛЬСЬКУ,巴西葡萄牙语翻译
CREDITS_ACT2_ORIG_TITLE_LINE_1,ORIGINAL MOTHER,JEU MOTHER ORIGINAL,TITOLI DI CODA,,,CRÉDITOS ORIGINALES,CRÉDITOS ORIGINALES,CRÉDITOS ORIGINAIS,ORYGINALNI AUTORZY MOTHER,ORIGINALE MOTHER CREDITS,НАД ОРИГИНАЛЬНОЙ,НАД ОРИГІНАЛЬНОЮ,原版MOTHER
CREDITS_ACT2_ORIG_TITLE_LINE_2,STAFF CREDITS, ,DI MOTHER,,,DE MOTHER,DE MOTHER,DE MOTHER, , MITWIRKENDE,MOTHER РАБОТАЛИ:,MOTHER ПРАЦЮВАЛИ:,职员名单
CREDITS_ACT2_TOBECONTINUED,To be continued in ACT 3,À suivre dans l'ACTE 3,Continua nell'ATTO 3,To be continued in ACT 3・・・,3막에서 계속,Continuará en el ACTO 3,Continuará en el ACTO 3,Continua no 3º ATO,Ciąg dalszy nastąpi w Akcie 3,Fortsetzung in Akt 3 ...,Продолжение следует в АКТЕ 3,Далі буде в АКТІ 3,未完待续，敬请期待第3幕！
CREDITS_ORIG_MUSIC_PROD,MUSIC PRODUCERS,PRODUCTION MUSICALE,PRODUTTORI MUSICALI,,,PRODUCTORES MUSICALES,PRODUCTORES MUSICALES,PRODUTORES MUSICAIS,PRODUCENCI MUZYCZNI,MUSIKPRODUZENTEN,КОМПОЗИТОРЫ,КОМПОЗИТОРИ,音乐
CREDITS_ORIG_SCENARIO,SCENARIO ASSISTANTS,ASSISTANTS SCÉNARISTES,ASSISTENTI SCENARIO,,,ASISTENTES DE ESCENARIO,ASISTENTES DE ESCENARIO,ASSISTENTES DE CENÁRIO,ASYSTENCI SCENARZYSTÓW,SZENARIENASSISTENTEN,ПОМОЩНИКИ ПО СЦЕНАРИЮ,ПОМІЧНИКИ ПО СЦЕНАРІЮ,场景助理
CREDITS_ORIG_FIGURE,FIGURE MODELING,CRÉATION DES FIGURINES,MODELLISTA DELLE STATUETTE,,,MODELADOR DE FIGURAS,MODELADOR DE FIGURAS,MODELADOR DAS FIGURAS DE MASSINHA,MODELOWANIE POSTACI,FIGURENMODELLIERUNG,СОЗДАТЕЛЬ ФИГУРОК ПЕРСОНАЖЕЙ,ТВОРЕЦЬ ФІГУРОК ПЕРСОНАЖІВ,人物建模
CREDITS_ORIG_DESIGNERS_GAME,GAME DESIGNERS,CONCEPTION LUDIQUE,GAME DESIGNER,,,DISEÑADOR DE JUEGO,DISEÑADOR DE JUEGO,DESIGNERS DO JOGO,PROJEKTANCI GRY,SPIELDESIGNER,ГЕЙМДИЗАЙНЕРЫ,ГЕЙМДИЗАЙНЕРИ,游戏设计
CREDITS_ORIG_THANKS,SPECIAL THANKS,REMERCIEMENTS,RINGRAZIAMENTI SPECIALI,,,AGRADECIMIENTOS ESPECIALES,AGRADECIMIENTOS ESPECIALES,AGRADECIMENTOS ESPECIAIS,SPECJALNE PODZIĘKOWANIA,BESONDERER DANK,ОСОБАЯ БЛАГОДАРНОСТЬ,ОСОБЛИВА ВДЯЧНІСТЬ,特别鸣谢
CREDITS_ORIG_TRANSLATORS,TRANSLATORS,TRADUCTEURS,LOCALIZZATORI,,,TRADUCTORES,TRADUCTORES,TRADUTORES,TŁUMACZE,ÜBERSETZER,ПЕРЕВОДЧИКИ,ПЕРЕКЛАДАЧІ,翻译人员
CREDITS_ORIG_DESIGN_CHARA,CHARACTER DESIGNERS,CONCEPTION DES PERSONNAGES,CHARACTER DESIGNER,,,DISEÑADORES DE PERSONAJE,DISEÑADORES DE PERSONAJES,DESIGNERS DE PERSONAGENS,PROJEKTANCI POSTACI,CHARAKTERDESIGNER,ДИЗАЙНЕРЫ ПЕРСОНАЖЕЙ,ДИЗАЙНЕРИ ПЕРСОНАЖІВ,角色设计
